Preparing MNIST dataset (will download if not found)...
Epoch 1 / 10 | MSE = 0.016134816686126718 | Train acc = 90.87%
Epoch 2 / 10 | MSE = 0.00746578893711612 | Train acc = 95.88%
Epoch 3 / 10 | MSE = 0.005479007353248922 | Train acc = 97.13%
Epoch 4 / 10 | MSE = 0.004458890570593824 | Train acc = 97.71%
Epoch 5 / 10 | MSE = 0.0037412255516745 | Train acc = 98.19%
Epoch 6 / 10 | MSE = 0.0032458800582480726 | Train acc = 98.44%
Epoch 7 / 10 | MSE = 0.002854675521674769 | Train acc = 98.62%
Epoch 8 / 10 | MSE = 0.002505431235516547 | Train acc = 98.79%
Epoch 9 / 10 | MSE = 0.0022438640320392536 | Train acc = 98.94%
Epoch 10 / 10 | MSE = 0.002037384927849526 | Train acc = 99.02%
Test sample 0 | desired=7 | predicted=7 | outputs=[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000]
Test sample 1 | desired=2 | predicted=2 | outputs=[0.000, 0.000, 0.999, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 2 | desired=1 | predicted=1 | outputs=[0.000, 0.970, 0.004, 0.000, 0.002, 0.001, 0.002, 0.003, 0.037, 0.000]
Test sample 3 | desired=0 | predicted=0 | outputs=[0.997, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 4 | desired=4 | predicted=4 | outputs=[0.000, 0.000, 0.001, 0.000, 0.986, 0.000, 0.000, 0.000, 0.000, 0.021]
Test sample 5 | desired=1 | predicted=1 | outputs=[0.000, 0.990, 0.000, 0.000, 0.002, 0.000, 0.000, 0.009, 0.001, 0.000]
Test sample 6 | desired=4 | predicted=4 | outputs=[0.000, 0.000, 0.000, 0.000, 0.994, 0.000, 0.000, 0.000, 0.016, 0.003]
Test sample 7 | desired=9 | predicted=9 | outputs=[0.000, 0.000, 0.029, 0.001, 0.002, 0.000, 0.000, 0.000, 0.000, 0.990]
Test sample 8 | desired=5 | predicted=5 | outputs=[0.000, 0.000, 0.000, 0.000, 0.000, 0.313, 0.041, 0.000, 0.000, 0.000]
Test sample 9 | desired=9 | predicted=9 | outputs=[0.000, 0.000, 0.000, 0.000, 0.002, 0.000, 0.000, 0.001, 0.000, 0.997]
Test sample 10 | desired=0 | predicted=0 | outputs=[1.000, 0.000, 0.002, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 11 | desired=6 | predicted=6 | outputs=[0.006, 0.000, 0.001, 0.000, 0.000, 0.018, 0.982, 0.000, 0.063, 0.000]
Test sample 12 | desired=9 | predicted=9 | outputs=[0.000, 0.000, 0.000, 0.000, 0.004, 0.000, 0.000, 0.000, 0.000, 0.995]
Test sample 13 | desired=0 | predicted=0 | outputs=[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.016, 0.000, 0.000]
Test sample 14 | desired=1 | predicted=1 | outputs=[0.000, 0.999, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.000]
Test sample 15 | desired=5 | predicted=5 | outputs=[0.000, 0.000, 0.000, 0.029, 0.000, 0.975, 0.000, 0.000, 0.003, 0.000]
Test sample 16 | desired=9 | predicted=9 | outputs=[0.000, 0.000, 0.000, 0.000, 0.001, 0.000, 0.000, 0.001, 0.000, 0.996]
Test sample 17 | desired=7 | predicted=7 | outputs=[0.000, 0.000, 0.001, 0.000, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000]
Test sample 18 | desired=3 | predicted=3 | outputs=[0.000, 0.000, 0.001, 0.935, 0.000, 0.001, 0.000, 0.000, 0.075, 0.000]
Test sample 19 | desired=4 | predicted=4 | outputs=[0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.000, 0.000]
Test sample 20 | desired=9 | predicted=9 | outputs=[0.004, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.070, 0.000, 0.929]
Test sample 21 | desired=6 | predicted=6 | outputs=[0.001, 0.000, 0.000, 0.000, 0.000, 0.013, 0.977, 0.000, 0.001, 0.000]
Test sample 22 | desired=6 | predicted=6 | outputs=[0.000, 0.000, 0.000, 0.000, 0.008, 0.000, 0.998, 0.001, 0.002, 0.000]
Test sample 23 | desired=5 | predicted=5 | outputs=[0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000]
Test sample 24 | desired=4 | predicted=4 | outputs=[0.000, 0.000, 0.002, 0.000, 0.993, 0.000, 0.001, 0.009, 0.000, 0.016]
Test sample 25 | desired=0 | predicted=0 | outputs=[1.000, 0.000, 0.000, 0.000, 0.001, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 26 | desired=7 | predicted=7 | outputs=[0.001, 0.000, 0.002, 0.002, 0.000, 0.000, 0.000, 0.987, 0.000, 0.025]
Test sample 27 | desired=4 | predicted=4 | outputs=[0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 28 | desired=0 | predicted=0 | outputs=[1.000, 0.000, 0.011, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 29 | desired=1 | predicted=1 | outputs=[0.000, 0.977, 0.000, 0.015, 0.004, 0.001, 0.000, 0.000, 0.002, 0.000]
Test sample 30 | desired=3 | predicted=3 | outputs=[0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001]
Test sample 31 | desired=1 | predicted=1 | outputs=[0.000, 0.978, 0.001, 0.002, 0.013, 0.001, 0.000, 0.014, 0.010, 0.004]
Test sample 32 | desired=3 | predicted=3 | outputs=[0.000, 0.000, 0.000, 1.000, 0.000, 0.001, 0.000, 0.000, 0.000, 0.000]
Test sample 33 | desired=4 | predicted=4 | outputs=[0.184, 0.000, 0.000, 0.000, 0.995, 0.000, 0.004, 0.000, 0.000, 0.000]
Test sample 34 | desired=7 | predicted=7 | outputs=[0.000, 0.000, 0.000, 0.001, 0.000, 0.000, 0.000, 0.997, 0.000, 0.000]
Test sample 35 | desired=2 | predicted=2 | outputs=[0.000, 0.000, 0.996, 0.000, 0.000, 0.037, 0.000, 0.000, 0.000, 0.000]
Test sample 36 | desired=7 | predicted=7 | outputs=[0.000, 0.000, 0.003, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000]
Test sample 37 | desired=1 | predicted=1 | outputs=[0.000, 0.992, 0.000, 0.000, 0.002, 0.000, 0.000, 0.009, 0.007, 0.000]
Test sample 38 | desired=2 | predicted=2 | outputs=[0.002, 0.002, 0.958, 0.109, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]
Test sample 39 | desired=1 | predicted=1 | outputs=[0.000, 0.994, 0.000, 0.000, 0.000, 0.000, 0.001, 0.000, 0.003, 0.001]
Test sample 40 | desired=1 | predicted=1 | outputs=[0.000, 0.992, 0.002, 0.004, 0.007, 0.002, 0.005, 0.018, 0.012, 0.001]
Test sample 41 | desired=7 | predicted=7 | outputs=[0.000, 0.000, 0.000, 0.002, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000]
Test sample 42 | desired=4 | predicted=4 | outputs=[0.000, 0.001, 0.000, 0.000, 0.996, 0.000, 0.000, 0.000, 0.000, 0.008]
